country,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Gambie,57.014,56.297,55.555,54.789,53.997,53.182,52.342,51.479,50.592,49.683,48.775,47.868,46.961,46.057,45.155,44.258,43.362,42.472,41.586,40.52,39.41,38.312,37.226,36.155,35.094,34.049,33.019,32.007,31.008,30.113,29.256,28.414,27.585,26.772,25.974,25.193,24.426,23.675,22.941,21.814,20.63,19.496,18.41,17.373,16.379,15.433,14.533,13.677,12.862,12.535,12.331,12.129
Eritrea,20.954,20.572,20.206,19.854,19.518,19.196,18.889,18.595,18.315,18.049,17.796,17.555,17.328,17.112,16.908,16.717,16.536,16.367,16.21,16.062,15.926,15.8,15.684,15.569,15.455,15.341,15.228,15.116,14.934,14.742,14.552,14.364,14.178,13.994,13.812,13.632,13.454,13.278,13.104,12.932,12.762,12.593,12.427,12.263,12.1,11.737,11.383,11.039,10.703,10.377,10.059,9.751
Mali,36.789,35.996,35.2,34.403,33.612,32.832,32.06,31.3,30.547,29.806,29.075,28.356,27.646,26.948,26.434,25.975,25.519,25.069,24.624,24.186,23.751,23.322,22.899,22.482,22.069,21.548,21.013,20.488,19.972,19.466,18.97,18.484,18.007,17.54,17.083,16.651,16.244,15.845,15.454,15.072,14.697,14.33,13.971,13.619,13.274,12.938,12.608,12.286,11.97,11.662,11.361,11.066
Nigérie,44.362,43.48,42.588,41.702,40.819,39.943,39.074,38.212,37.356,36.508,35.669,34.84,34.304,33.773,33.247,32.725,32.205,31.691,31.182,30.677,30.176,29.68,28.842,28.019,27.209,26.414,25.635,24.872,24.122,23.389,22.671,21.97,21.518,21.074,20.636,20.205,19.78,19.363,18.952,18.549,18.151,17.76,17.513,17.269,17.027,16.788,16.551,16.318,16.087,15.858,15.633,15.41
Somálsko,37.702,37.259,36.823,36.394,35.974,35.561,35.156,34.76,34.371,33.99,33.617,33.247,32.878,32.511,32.147,31.785,31.425,31.067,30.711,30.359,30.007,29.658,29.312,28.969,28.627,28.333,28.067,27.804,27.541,27.28,27.021,26.763,26.507,26.252,25.999,25.748,25.498,25.03,24.427,23.835,23.251,22.678,22.115,21.563,21.02,20.487,19.964,19.453,18.92,18.372,17.835,17.312
