"","citizen","celkem","afrika","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01"
"51","SL",2050,TRUE,65,50,60,50,55,75,75,50,55,65,75,60,80,75,85,75,60,45,75,80,70,65,75,65,75,65,70,65,65,85,40
"52","UG",1920,TRUE,65,45,45,50,55,65,85,100,70,65,65,75,65,50,60,65,65,60,60,120,70,65,45,45,55,40,40,55,60,90,25
"53","BY",1915,FALSE,90,75,75,55,65,60,65,60,55,85,65,65,55,60,65,60,35,55,65,45,35,60,50,55,65,55,80,40,95,75,50
"54","KM",1845,TRUE,90,35,50,65,25,60,135,70,75,30,45,40,65,35,70,95,80,95,40,30,65,85,55,55,45,40,75,45,40,65,45
"55","CF",1825,TRUE,10,25,10,25,20,40,45,40,50,45,60,50,50,75,85,85,65,80,80,90,100,110,70,90,60,75,80,75,50,75,10
"56","TG",1725,TRUE,50,65,65,65,50,40,65,50,50,75,45,45,50,45,45,55,65,65,65,50,75,55,45,60,50,45,45,40,85,95,25
"57","YE",1690,FALSE,40,35,30,45,40,45,40,45,50,35,45,30,35,50,25,45,40,35,45,75,65,80,50,35,45,55,70,100,120,140,100
"58","BF",1620,TRUE,30,35,60,40,55,50,55,50,50,45,55,25,50,30,30,45,60,55,65,60,85,65,70,55,55,55,60,55,65,80,30
"59","MD",1620,FALSE,20,20,10,15,20,20,15,25,30,30,20,20,15,15,20,20,25,35,45,50,30,45,70,65,60,80,110,125,140,265,160
"60","KZ",1590,FALSE,105,60,20,80,35,30,45,95,70,85,55,70,65,55,30,35,45,40,45,40,55,85,30,60,65,45,20,35,25,35,30
"61","TD",1505,TRUE,40,75,90,75,40,50,55,45,40,50,45,55,50,50,50,45,35,55,50,65,45,50,55,50,50,30,60,25,35,30,15
"62","CU",1290,FALSE,20,15,35,30,15,25,40,40,30,45,20,25,35,30,40,45,50,25,40,45,45,60,55,65,55,65,105,40,55,55,40
"63","RW",1290,TRUE,30,40,55,30,40,35,65,40,35,60,35,25,70,50,30,55,45,50,50,35,55,45,30,40,40,45,35,45,45,35,0
"64","ZW",1285,TRUE,45,60,45,55,50,35,55,40,45,50,50,30,65,30,45,40,25,35,25,60,50,40,40,30,40,50,45,35,40,30,0
"65","TJ",1230,FALSE,20,20,15,5,15,10,20,10,20,35,25,25,15,20,30,25,25,45,45,50,100,60,55,80,60,100,25,45,65,75,90
"66","KG",1220,FALSE,35,45,60,40,30,25,45,40,40,55,80,35,60,50,35,35,30,40,45,30,35,40,20,30,40,45,25,25,35,40,30
"67","MM",1130,FALSE,95,95,95,35,25,25,20,10,45,45,25,40,30,45,35,25,20,30,30,20,30,40,25,25,25,25,30,35,30,55,20
"68","UZ",1130,FALSE,40,55,40,55,35,40,30,30,40,40,25,40,45,20,40,30,25,40,45,45,45,25,30,35,30,30,30,25,65,40,15
"69","BJ",1100,TRUE,35,25,25,25,30,15,20,30,20,35,15,10,30,25,20,15,50,35,40,45,55,65,45,20,30,40,50,55,65,85,45
"70","EH",1025,TRUE,15,10,20,20,20,20,15,15,15,20,20,40,25,35,45,25,45,45,45,60,60,45,60,70,40,45,45,40,30,35,0
"71","JO",1025,FALSE,25,20,30,30,20,20,35,40,35,35,45,50,25,25,25,30,45,45,45,40,35,45,40,25,50,25,25,15,30,40,30
"72","KE",1010,TRUE,30,35,35,25,35,30,50,35,25,35,25,15,35,35,30,55,45,30,30,35,30,30,35,25,20,40,50,20,30,40,20
"73","NE",955,TRUE,20,20,40,30,15,20,35,25,15,20,25,20,40,25,20,35,40,55,35,35,50,30,40,35,20,30,35,40,40,45,20
"74","DO",745,FALSE,10,20,10,30,10,20,10,20,10,20,20,20,20,20,15,25,35,40,45,25,25,25,20,20,25,15,45,40,40,60,5
"75","NP",745,FALSE,25,20,15,15,25,15,20,25,30,40,25,15,25,35,35,45,15,15,20,30,20,20,25,20,30,20,20,25,25,40,10
"76","CO",725,FALSE,20,20,25,20,20,25,35,20,15,30,15,30,30,25,35,30,25,20,20,20,30,25,30,25,20,5,20,35,25,25,5
"77","TM",725,FALSE,15,5,15,5,5,10,5,20,20,20,20,10,30,30,20,35,25,50,30,35,35,30,25,25,35,30,25,30,35,20,30
"78","SV",700,FALSE,5,20,15,15,20,5,15,20,25,10,15,10,20,10,30,15,25,30,30,25,15,30,35,30,15,35,35,50,25,55,15
"79","VE",635,FALSE,10,5,5,5,5,5,10,5,5,5,10,25,5,15,55,45,25,30,30,30,15,35,25,15,25,25,35,35,40,55,0
"80","DJ",590,TRUE,15,5,20,15,5,10,30,25,35,20,15,20,15,30,20,5,5,10,10,30,50,30,30,20,20,15,35,15,20,10,5
"81","KP",565,FALSE,25,20,35,35,30,30,45,35,40,30,35,20,20,10,10,5,15,10,5,0,10,5,20,10,5,10,10,10,20,10,0
"82","MW",560,TRUE,20,30,20,15,20,15,20,5,20,25,35,25,30,10,15,25,35,10,5,25,10,15,10,10,10,20,25,25,15,15,0
"83","LR",540,TRUE,5,10,15,20,20,10,15,15,15,20,15,15,20,15,15,25,25,20,20,20,20,25,25,15,15,20,20,25,20,20,0
"84","BI",490,TRUE,25,10,15,15,10,40,20,25,5,15,15,20,10,10,10,10,10,5,15,20,15,10,20,10,15,5,15,20,30,40,5
"85","JM",460,FALSE,10,5,10,15,20,10,20,15,15,20,20,10,10,25,20,10,15,10,15,20,20,20,10,20,15,15,15,15,20,15,0
"86","TZ",430,TRUE,15,15,15,10,15,10,30,15,10,10,15,15,15,10,20,20,15,10,10,10,25,15,15,15,15,15,5,10,10,15,5
"87","PL",420,FALSE,15,10,10,10,15,15,15,10,10,10,30,15,15,25,15,10,10,35,15,10,10,10,10,15,10,15,15,5,10,15,5
"88","PH",410,FALSE,5,15,15,10,10,10,15,15,15,10,15,10,10,5,10,15,10,25,20,5,10,15,20,20,10,15,20,10,15,25,5
"89","ZA",395,TRUE,10,10,15,10,15,5,15,5,5,5,10,10,15,10,15,15,15,5,25,10,20,20,10,15,25,15,20,10,10,20,5
"90","KW",350,FALSE,10,0,5,10,10,15,15,10,15,10,5,5,5,10,5,10,10,15,15,10,20,15,25,15,20,10,10,5,15,25,0
"91","BH",310,FALSE,5,5,5,10,0,0,185,10,0,10,5,5,15,5,0,0,0,5,5,10,5,0,5,5,5,5,0,0,0,5,0
"92","MG",300,TRUE,10,10,10,15,15,15,10,15,10,10,15,15,5,0,5,10,15,15,5,5,5,15,10,15,10,10,10,5,10,0,0
"93","RO",300,FALSE,5,10,10,15,15,10,30,15,20,10,15,10,5,10,15,5,5,10,5,15,10,0,15,5,0,5,10,10,5,5,0
"94","MU",275,TRUE,5,50,10,10,10,10,5,10,10,0,15,5,5,10,10,10,5,5,5,15,10,5,0,10,5,10,5,10,0,15,0
"95","US",275,FALSE,0,10,5,5,5,5,10,5,10,15,5,10,5,10,10,10,5,10,15,15,20,15,10,15,5,5,10,10,5,15,0
"96","HN",265,FALSE,0,5,5,0,5,10,5,0,5,10,5,10,5,10,5,10,5,15,10,5,5,10,0,10,20,20,15,10,20,25,5
"97","PE",265,FALSE,10,5,5,5,10,10,15,10,5,10,5,15,10,10,10,10,10,5,15,5,0,10,5,5,10,15,5,10,20,5,0
"98","BR",235,FALSE,5,5,5,5,5,10,15,5,10,5,5,5,5,10,10,5,20,10,10,5,5,10,10,5,5,10,5,10,15,5,0
"99","SS",210,FALSE,0,5,0,0,5,0,5,5,0,10,5,5,20,10,5,15,15,10,10,10,5,5,5,0,10,5,5,5,5,10,20
"100","BG",205,FALSE,20,40,20,15,0,5,5,10,0,5,5,0,10,5,5,5,0,5,15,5,0,0,0,0,0,0,5,0,10,10,5
"101","GA",190,TRUE,5,5,5,5,0,5,5,5,10,5,0,5,5,5,0,10,5,5,10,5,10,15,5,0,0,10,5,15,20,10,0
"102","IL",190,FALSE,5,5,5,10,5,5,5,5,15,5,5,5,0,5,15,10,0,5,5,15,10,0,5,10,5,0,10,5,0,10,5
"103","MY",190,FALSE,5,0,5,5,5,10,10,15,5,5,5,5,0,10,10,5,10,0,15,0,15,5,5,5,5,5,10,5,5,5,0
"104","BO",180,FALSE,10,10,10,5,5,5,10,10,15,0,5,5,5,0,5,10,5,0,5,5,5,0,5,10,5,10,0,5,10,5,0
"105","SA",180,FALSE,0,5,0,5,5,5,10,5,0,0,5,5,5,5,5,15,5,5,15,0,0,10,10,5,15,5,0,15,5,10,5
"106","MX",170,FALSE,5,10,0,0,5,5,10,5,5,5,5,5,5,5,10,5,5,5,5,5,10,5,5,0,10,5,5,10,5,10,0
"107","HR",135,FALSE,10,15,0,10,15,5,0,5,0,10,0,0,10,5,5,0,0,5,0,5,0,5,5,5,0,0,5,10,0,5,0
"108","KH",130,FALSE,5,5,0,5,0,10,5,5,0,0,5,5,5,5,5,5,5,10,10,0,5,5,5,5,5,0,5,5,0,5,0
"109","ZM",130,TRUE,5,0,0,10,5,5,5,5,5,5,5,0,10,5,5,5,5,0,5,5,0,5,5,5,0,10,0,5,5,5,0
"110","TW",125,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,5,110,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"111","LT",115,FALSE,5,5,5,5,0,5,5,5,0,0,5,5,0,10,5,0,0,0,5,0,5,5,5,5,0,5,10,5,5,5,0
"112","BT",105,FALSE,5,5,0,5,5,10,5,5,10,5,0,5,5,5,0,0,5,0,5,5,5,0,0,0,5,0,5,0,0,5,0
"113","TH",105,FALSE,5,5,5,0,5,0,5,5,5,0,0,0,0,5,5,0,0,5,5,5,5,5,5,5,5,0,0,0,5,10,5
"114","GQ",95,TRUE,5,0,10,5,5,0,5,0,0,0,0,0,0,5,10,5,0,5,0,0,10,5,5,5,0,0,0,5,5,5,0
"115","GY",95,FALSE,0,5,5,5,0,10,0,0,5,5,5,5,5,5,0,5,0,5,0,0,0,0,0,5,0,5,5,5,5,5,0
"116","NI",95,FALSE,5,5,0,0,0,0,5,0,5,5,5,5,0,5,5,10,0,5,5,0,5,5,0,5,0,5,0,5,5,0,0
"117","EC",85,FALSE,0,5,5,0,0,10,0,5,0,5,0,5,0,0,5,5,5,5,10,0,0,5,0,0,0,5,0,5,0,5,0
"118","EL",85,FALSE,5,0,0,5,0,5,0,0,0,5,0,0,5,5,0,5,5,5,5,0,0,5,5,0,5,5,5,5,5,0,0
"119","CL",80,FALSE,0,0,0,5,5,5,5,5,5,5,0,0,0,0,0,0,10,0,0,0,5,0,0,5,0,0,5,5,5,5,5
"120","NA",80,FALSE,5,5,0,0,0,0,0,0,0,5,0,0,0,10,0,5,0,0,5,5,0,5,0,5,0,5,10,5,5,5,0
"121","SZ",75,TRUE,5,0,0,0,0,0,0,0,0,0,0,5,10,5,0,5,0,5,5,5,10,5,0,5,0,5,0,5,0,0,0
"122","ID",70,FALSE,5,0,5,5,0,5,5,0,0,5,5,0,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,5,5,5,0
"123","TT",70,FALSE,0,0,5,5,0,0,0,10,5,0,0,5,5,0,0,5,0,0,0,5,5,5,5,5,0,0,5,0,0,0,0
"124","KR",60,FALSE,5,0,0,5,0,0,0,0,0,5,0,0,5,5,5,0,0,0,0,5,0,0,5,5,0,0,5,0,5,5,0
"125","BW",55,TRUE,0,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,10,0,5,0,5,10,0,0,5,0,0,0,5,0,0
"126","LV",50,FALSE,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,5,5,0,5,5,0,0
"127","GT",45,FALSE,0,10,0,5,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0
"128","HU",45,FALSE,0,5,0,0,0,0,0,5,5,0,0,5,5,5,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0
"129","IT",40,FALSE,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,5,0,0,5,0,5,0,0,0,0,0,5,0
"130","ES",35,FALSE,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0
"131","AE",30,FALSE,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,5,0
"132","CA",30,FALSE,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0
"133","SK",30,FALSE,0,0,0,5,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
"134","LA",20,FALSE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0
"135","MZ",20,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
"136","OM",20,FALSE,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0
"137","AU",15,FALSE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
"138","CV",15,TRUE,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
"139","CZ",15,FALSE,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"140","FR",15,FALSE,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"141","NL",15,FALSE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
"142","SR",15,FALSE,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"143","VC",15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0
"144","AR",10,FALSE,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","DE",10,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
"146","DM",10,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0
"147","SC",10,TRUE,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"148","AG",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","AT",5,FALSE,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","BB",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","EE",5,FALSE,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","GD",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","LC",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","MV",5,FALSE,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","NO",5,FALSE,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","PY",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"157","SG",5,FALSE,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","SI",5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","UK_OCT",5,FALSE,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","AD",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","BE",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","BN",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","BS",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","BZ",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","CH",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","CK",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","CR",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","CY",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","DK",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","FI",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","FJ",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","FM",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","IE",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","IS",0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
