"","citizen","celkem","afrika","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01"
"1","SY",264115,FALSE,3165,2375,2475,2480,2520,2725,3365,3775,6025,6755,6075,4725,5840,5430,5315,5530,7095,8915,11530,12480,16500,14860,13185,12380,11110,8400,9810,10925,12760,20305,25285
"2","AF",112655,FALSE,1780,1420,1490,1550,1650,1625,1855,1565,1740,1925,2125,2310,2955,2295,2135,1960,1980,2435,2975,3095,3915,4300,4220,5555,4560,4105,4245,5385,8810,12805,13890
"3","XK",111315,FALSE,805,865,985,1560,2475,3165,1875,1155,1170,1040,1000,820,925,785,760,700,655,710,1020,1285,3155,3545,7495,13075,13860,22460,12550,5310,2545,2195,1370
"4","ER",65255,TRUE,700,510,605,465,495,470,1325,1825,1910,2135,2145,1645,1315,720,905,2450,4570,4115,6040,5015,4090,3260,2270,1485,1295,875,985,1490,3550,4145,2450
"5","AL",60330,FALSE,610,675,780,850,870,710,885,675,945,1255,1135,1160,1110,1595,1500,1410,1210,1240,1400,1030,1060,1280,1585,1605,2170,2325,3645,5445,5585,6635,7950
"6","PK",58320,FALSE,1330,1250,1390,1815,1730,1850,2070,1725,1585,1620,1455,1300,1640,1525,1715,1455,1480,1475,1775,1680,2010,2125,1875,1715,1730,1685,1905,2230,2680,3955,4545
"7","RU",56960,FALSE,2125,2065,2795,4485,5840,5125,3620,2655,2205,1660,1360,1180,1515,1090,1120,1145,1000,1050,1195,1145,1265,1220,1125,1160,1080,1090,1020,1065,1085,1455,1020
"8","IQ",49105,FALSE,930,640,650,680,535,625,785,730,850,950,770,640,840,835,755,800,785,850,1040,1245,1745,2035,2035,1835,2175,2245,2875,3345,4455,6130,4295
"9","RS",47835,FALSE,820,825,705,810,685,780,1275,1440,1870,1880,2050,1925,1990,1180,1165,1035,985,1170,1990,1780,1790,2320,2380,2310,2295,2095,1945,1640,1605,1585,1510
"10","NG",40170,TRUE,670,645,765,795,680,715,865,985,1030,1380,890,805,1050,855,1120,1285,1565,1600,2005,1665,1955,2350,1655,1700,1450,1430,1355,1435,2140,2555,775
"11","SO",40035,TRUE,1095,800,1045,1145,1065,1345,1570,1570,1620,1575,1565,1125,1265,1045,1060,1270,1250,1295,1340,1290,1515,1300,1090,1070,1045,1125,1250,1320,2050,2000,935
"12","STLS",29760,FALSE,390,290,275,340,340,415,610,970,2000,2135,865,645,580,535,645,750,1200,1100,1360,1650,2550,1960,1525,1270,870,520,405,530,830,1245,960
"13","IR",26705,FALSE,1185,800,785,1080,895,815,885,795,880,1190,845,720,860,600,610,825,740,660,770,770,950,1085,940,845,830,675,755,995,975,1160,785
"14","UA",25945,FALSE,75,65,60,40,70,65,80,85,75,80,80,65,110,205,545,630,790,995,1370,1570,1895,2170,1815,1440,1345,1800,1975,2020,1660,2085,685
"15","BD",23230,FALSE,465,445,425,670,710,810,710,565,660,730,540,535,500,505,595,530,555,430,675,785,1405,1755,1140,1115,835,705,825,745,935,1140,790
"16","ML",23065,TRUE,430,615,765,620,495,575,610,530,500,550,370,365,610,660,970,1130,1630,1245,1290,1080,1345,1315,865,645,595,620,785,520,620,600,115
"17","GM",20635,TRUE,200,140,165,210,205,265,355,330,255,430,505,295,785,570,600,865,870,885,1055,920,1225,1340,1005,1180,1050,1025,1015,785,895,1000,210
"18","MK",20240,FALSE,260,285,275,370,350,540,585,785,1165,1095,1035,640,855,500,500,420,305,470,650,550,545,705,695,530,630,655,880,685,790,1165,1325
"19","UNK",19365,FALSE,245,175,195,175,180,200,270,270,445,765,375,270,445,395,315,370,610,625,760,705,1085,1040,1030,1220,1055,995,925,680,925,1290,1330
"20","GE",19015,FALSE,720,645,675,640,455,700,745,660,665,810,665,620,650,580,610,610,555,585,690,610,670,720,590,565,545,450,535,525,510,705,310
"21","CD",17070,TRUE,505,650,670,665,530,590,630,560,590,770,695,655,720,690,795,760,490,595,520,405,465,470,395,480,405,455,430,470,410,500,105
"22","BA",16830,FALSE,305,220,240,195,270,280,460,415,780,840,795,500,805,490,725,575,405,555,795,625,605,785,705,710,560,455,535,585,485,565,565
"23","DZ",15955,TRUE,430,490,555,540,565,555,540,435,475,510,415,340,455,475,520,500,525,450,480,485,540,615,510,470,470,475,635,665,770,870,195
"24","SN",13560,TRUE,165,120,140,150,145,200,310,210,290,405,430,215,360,445,500,460,530,470,525,455,485,730,695,605,675,800,800,665,665,685,230
"25","GN",13245,TRUE,410,405,500,465,400,415,500,480,495,555,470,480,530,470,520,475,410,435,435,390,445,445,345,380,320,335,455,390,360,460,70
"26","SD",12535,TRUE,235,180,230,205,210,280,220,240,240,320,335,300,320,265,295,320,445,605,690,590,685,720,530,515,370,365,455,425,650,910,385
"27","LK",12220,FALSE,480,520,485,535,445,510,565,445,375,510,370,390,460,480,535,450,350,395,385,310,325,395,310,325,310,315,350,325,210,320,40
"28","CN",12165,FALSE,360,335,375,400,355,380,435,405,405,425,370,355,370,420,450,425,405,395,395,405,400,475,320,385,390,445,425,425,455,535,45
"29","TR",11260,FALSE,425,525,490,390,410,365,340,270,370,380,320,360,385,455,415,375,330,365,320,300,295,420,350,395,375,395,340,325,310,320,145
"30","AM",11020,FALSE,395,380,320,335,290,325,290,280,325,450,380,305,385,340,355,360,325,345,455,400,480,465,385,495,355,325,270,285,340,390,190
"31","EG",10335,TRUE,180,210,200,205,315,265,430,755,675,970,565,295,380,335,290,260,285,325,335,280,310,355,270,210,285,235,260,220,220,275,140
"32","MA",9985,TRUE,245,200,330,305,315,340,355,295,325,320,305,280,365,310,290,295,295,310,295,310,360,365,320,310,350,320,405,420,415,470,165
"33","IN",8145,FALSE,210,215,185,235,255,260,260,210,290,240,250,155,240,230,220,310,265,280,285,270,305,300,240,280,235,265,260,330,355,475,235
"34","GH",8095,TRUE,135,100,190,170,210,165,195,195,195,240,200,150,210,200,210,300,265,230,360,380,440,540,470,355,275,220,265,255,395,415,165
"35","CI",8070,TRUE,165,180,275,215,195,210,205,195,150,175,155,180,195,195,215,225,265,205,300,225,375,375,375,285,280,355,425,430,415,515,115
"36","LY",7425,TRUE,165,150,110,115,115,140,100,150,160,190,230,190,200,165,140,135,205,195,195,395,420,410,270,305,385,305,465,415,370,500,135
"37","ET",6895,TRUE,115,120,130,130,115,145,180,185,215,205,230,165,180,140,125,145,185,200,235,235,355,320,280,225,270,170,185,235,415,700,360
"38","AZ",6260,FALSE,225,195,135,140,155,130,155,180,230,290,220,210,275,190,195,220,155,150,225,240,220,215,220,215,240,180,195,170,275,255,160
"39","CM",5770,TRUE,135,120,155,150,125,140,135,160,130,140,155,150,150,190,180,160,170,145,210,190,270,230,225,200,205,205,250,215,270,365,245
"40","TN",5610,TRUE,200,195,155,180,210,190,185,165,180,230,230,150,175,150,145,145,195,180,180,175,185,245,160,155,190,130,215,195,145,295,80
"41","ME",4930,FALSE,50,55,35,70,55,60,60,55,90,90,85,70,120,85,185,115,170,130,155,95,95,155,90,65,130,190,285,310,355,785,640
"42","HT",4635,FALSE,110,120,155,160,120,145,115,90,110,130,120,125,135,130,145,135,150,145,180,90,180,175,185,225,185,215,215,155,220,260,10
"43","PS",4490,FALSE,55,70,60,45,60,85,110,45,90,105,160,90,100,100,90,90,75,120,160,175,265,365,220,150,160,165,230,240,255,360,195
"44","MN",4050,FALSE,115,70,80,75,80,65,85,80,85,95,95,65,155,145,135,140,125,135,120,155,160,155,165,200,220,135,200,215,155,220,125
"45","VN",3665,FALSE,160,110,120,125,115,145,115,155,110,110,105,75,90,75,105,100,95,105,150,95,110,130,120,95,130,125,175,135,155,160,70
"46","LB",3650,FALSE,120,90,65,100,90,85,115,105,165,190,135,85,200,125,110,125,85,110,125,115,125,175,115,115,115,130,110,120,85,135,85
"47","MR",3145,TRUE,135,110,135,150,125,135,150,115,115,125,130,115,100,110,100,95,90,85,85,75,75,100,60,80,65,70,90,100,90,95,40
"48","CG",3110,TRUE,105,110,105,100,70,75,120,95,85,80,85,90,110,70,90,80,65,100,80,65,75,80,70,90,70,70,105,80,120,325,245
"49","AO",2460,TRUE,75,110,135,100,100,105,70,85,80,85,70,65,75,95,145,110,100,90,80,70,65,70,45,40,55,65,80,80,40,70,5
"50","GW",2090,TRUE,50,35,40,30,45,55,55,50,45,65,65,40,65,70,60,105,65,65,75,50,85,95,90,55,85,95,115,105,80,115,40
